quarter,start_date,end_date
2010-Q1,1/1/2010,3/31/2010
2010-Q2,4/1/2010,6/30/2010
2010-Q3,7/1/2010,9/30/2010
2010-Q4,10/1/2010,12/31/2010
2011-Q1,1/1/2011,3/31/2011
2011-Q2,4/1/2011,6/30/2011
2011-Q3,7/1/2011,9/30/2011
2011-Q4,10/1/2011,12/31/2011
2012-Q1,1/1/2012,3/31/2012
2012-Q2,4/1/2012,6/30/2012
2012-Q3,7/1/2012,9/30/2012
2012-Q4,10/1/2012,12/31/2012
2013-Q1,1/1/2013,3/31/2013
2013-Q2,4/1/2013,6/30/2013
2013-Q3,7/1/2013,9/30/2013
2013-Q4,10/1/2013,12/31/2013
2014-Q1,1/1/2014,3/31/2014
2014-Q2,4/1/2014,6/30/2014
2014-Q3,7/1/2014,9/30/2014
2014-Q4,10/1/2014,12/31/2014
2015-Q1,1/1/2015,3/31/2015
2015-Q2,4/1/2015,6/30/2015
2015-Q3,7/1/2015,9/30/2015
2015-Q4,10/1/2015,12/31/2015
2016-Q1,1/1/2016,3/31/2016
2016-Q2,4/1/2016,6/30/2016
2016-Q3,7/1/2016,9/30/2016
2016-Q4,10/1/2016,12/31/2016
2017-Q1,1/1/2017,3/31/2017
2017-Q2,4/1/2017,6/30/2017
2017-Q3,7/1/2017,9/30/2017
2017-Q4,10/1/2017,12/31/2017
